Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
AMD,Radeon R7 M445,Meso,GCN 3.0,2016,4 GB,GDDR5,64 bit,unknown,unknown,320.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R7 M460,Meso,GCN 3.0,2016,2 GB,GDDR5,64 bit,unknown,unknown,384.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Playable:1280x720 | Low FPS:1366x768
AMD,Radeon R7 M465,Litho,GCN 1.0,2016,2 GB,GDDR5,128 bit,unknown,unknown,384.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R7 M465,Topaz,GCN 3.0,2016,2 GB,GDDR5,64 bit,unknown,unknown,384.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Playable:1280x720 | Low FPS:1366x768
AMD,Radeon R7 M465X,Tropo,GCN 1.0,2016,2 GB,GDDR5,128 bit,unknown,unknown,512.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Low FPS:1366x768 | Unplayable:1600x900
AMD,Radeon R7E Mobile Graphics,Wani,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,384.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R8 M435DX,Jet,GCN 1.0,2016,System Shared,System Shared,System Shared,unknown,unknown,384.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Low FPS:1366x768
AMD,Radeon R8 M445DX,Meso,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,unknown,320.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon R9 M470,Emerald,GCN 2.0,2016,4 GB,GDDR5,128 bit,unknown,unknown,768.0,unknown,12 (12_0),4.6,6.5,Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon R9 M470X,Emerald,GCN 2.0,2016,4 GB,GDDR5,128 bit,unknown,unknown,896.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
